id,adj_p_value,p_value,t,b,logfc,gene_symbol,gene_title
204222_s_at,0.2223,0.141,1.560355,-5.122417,0.8703405,GLIPR1,GLI pathogenesis related 1
205390_s_at,0.2223,0.141,-1.560323,-5.122461,-0.2924107,ANK1,ankyrin 1
208180_s_at,0.22234,0.141,-1.560153,-5.122692,-0.200015,HIST1H4H,"histone cluster 1, H4h"
207602_at,0.22238,0.141,-1.560003,-5.122897,-0.3774874,TMPRSS11D,"transmembrane protease, serine 11D"
212842_x_at,0.22245,0.141,1.559772,-5.123213,0.4072336,RGPD6///RGPD8///RGPD3///RGPD4///RGPD5,RANBP2-like and GRIP domain containing 6///RANBP2-like and GRIP domain containing 8///RANBP2-like and GRIP domain containing 3///RANBP2-like and GRIP domain containing 4///RANBP2-like and GRIP domain containing 5
212757_s_at,0.22248,0.141,1.559644,-5.123388,0.3109562,CAMK2G,calcium/calmodulin dependent protein kinase II gamma
214817_at,0.22249,0.141,-1.559587,-5.123466,-0.3556829,UNC13A,unc-13 homolog A
206940_s_at,0.2225,0.141,-1.559513,-5.123566,-0.1498307,POU4F1,POU class 4 homeobox 1
210773_s_at,0.22265,0.142,-1.559023,-5.124235,-0.3050371,FPR2,formyl peptide receptor 2
47550_at,0.22265,0.142,-1.558994,-5.124274,-0.1687957,LZTS1,leucine zipper tumor suppressor 1
208762_at,0.22265,0.142,1.558955,-5.124328,0.3509833,SUMO1,small ubiquitin-like modifier 1
214809_at,0.22266,0.142,-1.55887,-5.124444,-0.2348602,LOC100294145,uncharacterized LOC100294145
212219_at,0.22269,0.142,1.558751,-5.124605,0.4966502,PSME4,proteasome activator subunit 4
209863_s_at,0.22269,0.142,-1.558704,-5.12467,-0.2062717,TP63,tumor protein p63
209198_s_at,0.2228,0.142,1.558338,-5.125169,0.3053036,SYT11,synaptotagmin 11
213000_at,0.2228,0.142,1.558324,-5.125188,0.4325281,MORC3,MORC family CW-type zinc finger 3
215329_s_at,0.22282,0.142,-1.558222,-5.125327,-0.2805586,CDK11A///CDK11B,cyclin dependent kinase 11A///cyclin dependent kinase 11B
209611_s_at,0.22299,0.142,-1.557731,-5.125997,-0.2527902,SLC1A4,solute carrier family 1 member 4
209561_at,0.22305,0.142,-1.557492,-5.126324,-0.4402171,THBS3,thrombospondin 3
221463_at,0.22305,0.142,-1.557475,-5.126347,-0.3766967,CCL24,C-C motif chemokine ligand 24
208714_at,0.22306,0.142,1.557412,-5.126433,0.4085833,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1
220122_at,0.22321,0.142,-1.556967,-5.127039,-0.2942998,MCTP1,multiple C2 and transmembrane domain containing 1
221050_s_at,0.2233,0.142,1.556647,-5.127475,0.3205988,GTPBP2,GTP binding protein 2
200765_x_at,0.2233,0.142,1.556645,-5.127478,0.6482138,CTNNA1,catenin alpha 1
218281_at,0.22334,0.142,1.556461,-5.127729,0.3723145,MRPL48,mitochondrial ribosomal protein L48
204764_at,0.22334,0.142,-1.556438,-5.127759,-0.1726655,CHURC1-FNTB///FNTB,"CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta"
209121_x_at,0.22335,0.142,-1.556393,-5.127821,-0.3570395,NR2F2,nuclear receptor subfamily 2 group F member 2
208368_s_at,0.22345,0.142,-1.55608,-5.128248,-0.16927,BRCA2,"BRCA2, DNA repair associated"
207430_s_at,0.22356,0.142,-1.555729,-5.128726,-0.15618,MSMB,microseminoprotein beta
79005_at,0.22366,0.142,-1.555433,-5.12913,-0.2545293,SLC35E1,solute carrier family 35 member E1
216021_s_at,0.22367,0.142,-1.555356,-5.129235,-0.1508052,GLRA3,glycine receptor alpha 3
208024_s_at,0.22379,0.143,1.554959,-5.129775,0.1950893,DGCR6L///DGCR6,DiGeorge syndrome critical region gene 6-like///DiGeorge syndrome critical region gene 6
63305_at,0.22379,0.143,-1.554889,-5.129871,-0.2551048,PKNOX2,PBX/knotted 1 homeobox 2
200757_s_at,0.22379,0.143,1.554869,-5.129898,0.3310967,CALU,calumenin
209489_at,0.22391,0.143,-1.554497,-5.130405,-0.2572445,CELF1,"CUGBP, Elav-like family member 1"
213994_s_at,0.22399,0.143,-1.554228,-5.130771,-0.2020433,SPON1,spondin 1
213906_at,0.22399,0.143,-1.554207,-5.130799,-0.1576957,MYBL1,MYB proto-oncogene like 1
221169_s_at,0.22399,0.143,-1.554123,-5.130914,-0.2023948,HRH4,histamine receptor H4
217730_at,0.22399,0.143,1.554098,-5.130948,0.6423695,MIR6513///TMBIM1,microRNA 6513///transmembrane BAX inhibitor motif containing 1
204061_at,0.22425,0.143,-1.553371,-5.131938,-0.2931638,PRKX,"protein kinase, X-linked"
216269_s_at,0.22435,0.143,-1.553064,-5.132355,-0.185376,ELN,elastin
208476_s_at,0.22442,0.143,-1.552841,-5.132659,-0.3849107,FRMD4A,FERM domain containing 4A
206043_s_at,0.22446,0.143,-1.552677,-5.132882,-0.27984,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
209895_at,0.2245,0.143,1.552525,-5.133089,0.1618893,PTPN11,"protein tyrosine phosphatase, non-receptor type 11"
204228_at,0.22459,0.143,1.55226,-5.133449,0.2833257,PPIH,peptidylprolyl isomerase H
218826_at,0.22463,0.143,1.552101,-5.133666,0.4360731,SLC35F2,solute carrier family 35 member F2
219268_at,0.22483,0.143,-1.551514,-5.134464,-0.2637564,ETNK2,ethanolamine kinase 2
201460_at,0.22519,0.144,-1.550441,-5.135923,-0.2526262,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2
204243_at,0.22519,0.144,1.550434,-5.135933,0.3325631,RLF,rearranged L-myc fusion
210906_x_at,0.2252,0.144,-1.550367,-5.136024,-0.1522426,AQP4,aquaporin 4
212190_at,0.22525,0.144,1.550187,-5.136268,0.9627869,SERPINE2,serpin family E member 2
200779_at,0.22527,0.144,1.550104,-5.136382,0.3678,ATF4,activating transcription factor 4
217622_at,0.22535,0.144,-1.549824,-5.136762,-0.28984,RHBDD3,rhomboid domain containing 3
214904_at,0.22536,0.144,-1.549778,-5.136824,-0.1420695,ZNF41,zinc finger protein 41
205307_s_at,0.22536,0.144,-1.54972,-5.136903,-0.2207083,KMO,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
212390_at,0.2254,0.144,1.549587,-5.137084,0.4309874,LOC101930416///LOC101929792///LOC100996724///PDE4DIP,myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein
210867_at,0.22543,0.144,-1.549413,-5.13732,-0.1976888,CNOT4,CCR4-NOT transcription complex subunit 4
218350_s_at,0.22545,0.144,1.549324,-5.137441,0.9195962,GMNN,"geminin, DNA replication inhibitor"
216314_at,0.22551,0.144,-1.549109,-5.137733,-0.1416121,CRISP1,cysteine rich secretory protein 1
206931_at,0.22556,0.144,-1.548928,-5.137979,-0.140029,ZNF141,zinc finger protein 141
200798_x_at,0.22556,0.144,1.548845,-5.138092,0.436671,MCL1,BCL2 family apoptosis regulator
201578_at,0.22556,0.144,1.548843,-5.138095,0.3104769,PODXL,podocalyxin like
214469_at,0.22563,0.144,-1.54862,-5.138397,-0.2344433,HIST1H2AE,"histone cluster 1, H2ae"
201057_s_at,0.22571,0.144,1.54836,-5.138751,0.3789833,GOLGB1,golgin B1
217775_s_at,0.22583,0.144,1.547966,-5.139286,0.4206121,RDH11,retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
214247_s_at,0.22583,0.144,1.54793,-5.139335,0.8072424,DKK3,dickkopf WNT signaling pathway inhibitor 3
206264_at,0.22584,0.144,-1.547821,-5.139483,-0.3530933,GPLD1,glycosylphosphatidylinositol specific phospholipase D1
210033_s_at,0.22584,0.144,1.547793,-5.13952,0.3999948,SPAG6,sperm associated antigen 6
202315_s_at,0.22584,0.144,1.547761,-5.139564,0.3620438,BCR,"BCR, RhoGEF and GTPase activating protein"
205401_at,0.22598,0.144,1.547349,-5.140124,0.4343486,AGPS,alkylglycerone phosphate synthase
209952_s_at,0.22604,0.144,-1.547113,-5.140444,-0.26639,MAP2K7,mitogen-activated protein kinase kinase 7
218753_at,0.22604,0.144,-1.547109,-5.140449,-0.2783371,XKR8,XK related 8
203764_at,0.22604,0.144,-1.547052,-5.140526,-0.2116367,DLGAP5,DLG associated protein 5
213517_at,0.22608,0.144,-1.546911,-5.140718,-0.1838593,PCBP2,poly(rC) binding protein 2
211946_s_at,0.22612,0.145,1.546777,-5.1409,0.5412145,PRRC2C,proline rich coiled-coil 2C
209222_s_at,0.22619,0.145,1.546506,-5.141267,0.2765281,OSBPL2,oxysterol binding protein like 2
218031_s_at,0.22619,0.145,1.546458,-5.141332,0.5105121,FOXN3,forkhead box N3
208577_at,0.22623,0.145,-1.546288,-5.141563,-0.2046205,HIST1H3C,"histone cluster 1, H3c"
217589_at,0.22623,0.145,-1.546234,-5.141636,-0.169259,RAB40A,"RAB40A, member RAS oncogene family"
218447_at,0.22623,0.145,1.546209,-5.141671,0.5253319,CMC2,C-X9-C motif containing 2
208057_s_at,0.22625,0.145,-1.546114,-5.141799,-0.2061005,GLI2,GLI family zinc finger 2
205116_at,0.22628,0.145,-1.546014,-5.141935,-0.2747693,LAMA2,laminin subunit alpha 2
209665_at,0.22628,0.145,1.545957,-5.142012,0.3588452,CYB561D2,cytochrome b561 family member D2
214244_s_at,0.22635,0.145,-1.545694,-5.142369,-0.330105,ATP6V0E1,ATPase H+ transporting V0 subunit e1
203990_s_at,0.2264,0.145,-1.545512,-5.142616,-0.1744002,KDM6A,lysine demethylase 6A
217751_at,0.2264,0.145,1.545465,-5.14268,0.2675183,GSTK1,glutathione S-transferase kappa 1
210926_at,0.22642,0.145,1.545375,-5.142802,0.3940345,POTEKP,"POTE ankyrin domain family member K, pseudogene"
206903_at,0.22643,0.145,-1.545296,-5.142908,-0.2364686,EXOG,"endo/exonuclease (5'-3'), endonuclease G-like"
207423_s_at,0.22658,0.145,-1.544877,-5.143477,-0.3594198,ADAM20,ADAM metallopeptidase domain 20
204080_at,0.22673,0.145,-1.544425,-5.14409,-0.2378552,TOE1,"target of EGR1, member 1 (nuclear)"
216606_x_at,0.22673,0.145,-1.544372,-5.144162,-0.2574083,LYPLA2,lysophospholipase II
219627_at,0.22688,0.145,-1.543952,-5.144731,-0.1953643,ZNF767P,"zinc finger family member 767, pseudogene"
205029_s_at,0.2269,0.145,-1.543835,-5.14489,-0.1369388,FABP7,fatty acid binding protein 7
218359_at,0.22702,0.145,-1.543491,-5.145356,-0.3135655,NRSN2,neurensin 2
214400_at,0.22715,0.145,-1.543051,-5.145952,-0.2544986,INSL3,insulin like 3
210461_s_at,0.2272,0.145,1.542894,-5.146164,0.4809274,ABLIM1,actin binding LIM protein 1
201875_s_at,0.22721,0.145,1.542804,-5.146287,0.2250048,MPZL1,myelin protein zero like 1
217021_at,0.22725,0.146,-1.542672,-5.146465,-0.1699333,CYB5A,cytochrome b5 type A
221710_x_at,0.22728,0.146,-1.542519,-5.146672,-0.1893974,EVA1B,eva-1 homolog B
201407_s_at,0.22728,0.146,1.542483,-5.146721,0.7183262,PPP1CB,protein phosphatase 1 catalytic subunit beta
216873_s_at,0.22728,0.146,-1.542457,-5.146757,-0.2688474,ATP8B2,ATPase phospholipid transporting 8B2
213081_at,0.22751,0.146,-1.541811,-5.147632,-0.2739976,ZBTB22,zinc finger and BTB domain containing 22
216237_s_at,0.22752,0.146,1.541731,-5.14774,0.38725,MCM5,minichromosome maintenance complex component 5
218284_at,0.22754,0.146,-1.541653,-5.147846,-0.4955219,SMAD3,SMAD family member 3
215008_at,0.2277,0.146,-1.541159,-5.148515,-0.1507998,TLL2,tolloid like 2
203906_at,0.2277,0.146,1.541136,-5.148546,0.3343843,IQSEC1,IQ motif and Sec7 domain 1
204290_s_at,0.2277,0.146,-1.541099,-5.148595,-0.3252369,ALDH6A1,aldehyde dehydrogenase 6 family member A1
220460_at,0.22772,0.146,-1.541008,-5.148718,-0.192646,SLCO1C1,solute carrier organic anion transporter family member 1C1
217090_at,0.22775,0.146,-1.540875,-5.148899,-0.1703667,ADAM3A,ADAM metallopeptidase domain 3A (pseudogene)
217826_s_at,0.22776,0.146,1.540812,-5.148985,0.3954871,UBE2J1,ubiquitin conjugating enzyme E2 J1
216296_at,0.22782,0.146,-1.540577,-5.149301,-0.2126631,CLTA,clathrin light chain A
213641_at,0.22782,0.146,-1.540564,-5.14932,-0.300889,ZNF500,zinc finger protein 500
200694_s_at,0.22787,0.146,1.540378,-5.149572,0.3467012,DDX24,DEAD-box helicase 24
218945_at,0.22791,0.146,1.540254,-5.149739,0.3083262,METTL22,methyltransferase like 22
212968_at,0.22825,0.146,-1.539271,-5.151069,-0.2862957,RFNG,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
219619_at,0.2284,0.146,1.538745,-5.151781,0.2522229,DIRAS2,DIRAS family GTPase 2
207433_at,0.2284,0.146,-1.538736,-5.151793,-0.1711802,IL10,interleukin 10
201731_s_at,0.2284,0.146,1.538727,-5.151805,0.280405,TPR,"translocated promoter region, nuclear basket protein"
208248_x_at,0.2285,0.147,1.538426,-5.152212,0.495889,APLP2,amyloid beta precursor like protein 2
218412_s_at,0.22851,0.147,1.538373,-5.152283,0.3045081,GTF2IRD1,GTF2I repeat domain containing 1
33736_at,0.22873,0.147,-1.537725,-5.153159,-0.3160386,STOML1,stomatin like 1
217670_at,0.2288,0.147,-1.537515,-5.153444,-0.2614231,RPLP2,ribosomal protein lateral stalk subunit P2
214552_s_at,0.22886,0.147,-1.537301,-5.153732,-0.2242605,RABEP1,"rabaptin, RAB GTPase binding effector protein 1"
218319_at,0.22891,0.147,1.537145,-5.153944,0.6234707,PELI1,pellino E3 ubiquitin protein ligase 1
220571_at,0.22896,0.147,-1.536955,-5.154201,-0.3072924,PRDM11,PR/SET domain 11
215125_s_at,0.22898,0.147,-1.536873,-5.154311,-0.297881,UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10,UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10
206618_at,0.22898,0.147,-1.536819,-5.154383,-0.2271702,IL18R1,interleukin 18 receptor 1
33307_at,0.22903,0.147,-1.536638,-5.154629,-0.3740681,RRP7A,ribosomal RNA processing 7 homolog A
205862_at,0.22913,0.147,1.536349,-5.155019,0.1804052,GREB1,growth regulation by estrogen in breast cancer 1
222107_x_at,0.22915,0.147,-1.536255,-5.155146,-0.2864648,LZTS1,leucine zipper tumor suppressor 1
203585_at,0.22921,0.147,-1.536052,-5.15542,-0.2661617,ZNF185,zinc finger protein 185 (LIM domain)
209827_s_at,0.22936,0.147,-1.535605,-5.156023,-0.2721486,IL16,interleukin 16
206488_s_at,0.22944,0.147,1.535372,-5.156338,0.3898655,CD36,CD36 molecule
220748_s_at,0.22948,0.147,-1.535205,-5.156564,-0.3766674,ZNF580,zinc finger protein 580
219113_x_at,0.22949,0.147,-1.535138,-5.156654,-0.3035998,HSD17B14,hydroxysteroid 17-beta dehydrogenase 14
203216_s_at,0.22954,0.147,1.534971,-5.15688,0.8402924,MYO6,myosin VI
214585_s_at,0.22954,0.147,-1.53492,-5.156949,-0.3215307,VPS52,"VPS52, GARP complex subunit"
205941_s_at,0.22964,0.147,-1.534626,-5.157346,-0.2929069,COL10A1,collagen type X alpha 1 chain
211975_at,0.22971,0.148,1.534331,-5.157743,0.2964955,ARFGAP2,ADP ribosylation factor GTPase activating protein 2
213887_s_at,0.22971,0.148,1.53433,-5.157745,0.3397936,POLR2E,RNA polymerase II subunit E
220752_at,0.22971,0.148,-1.5343,-5.157785,-0.2945121,LOC51145,uncharacterized LOC51145
210809_s_at,0.22973,0.148,1.534188,-5.157936,1.1420895,POSTN,periostin
206647_at,0.22973,0.148,-1.534185,-5.15794,-0.2402679,HBZ,hemoglobin subunit zeta
213446_s_at,0.22978,0.148,1.533994,-5.158197,0.5998974,IQGAP1,IQ motif containing GTPase activating protein 1
221015_s_at,0.22996,0.148,-1.533437,-5.15895,-0.1725733,CDADC1,cytidine and dCMP deaminase domain containing 1
215407_s_at,0.23,0.148,-1.533289,-5.159149,-0.2319374,ASTN2,astrotactin 2
206501_x_at,0.23,0.148,-1.533268,-5.159178,-0.1956964,ETV1,ETS variant 1
220049_s_at,0.23003,0.148,-1.53314,-5.15935,-0.2141674,PDCD1LG2,programmed cell death 1 ligand 2
222208_s_at,0.23012,0.148,-1.532851,-5.15974,-0.2531407,POLR2J4,"RNA polymerase II subunit J4, pseudogene"
217705_at,0.2302,0.148,-1.532599,-5.16008,-0.143265,PRKD1,protein kinase D1
213798_s_at,0.23029,0.148,1.532334,-5.160437,0.6141438,CAP1,adenylate cyclase associated protein 1
218564_at,0.2303,0.148,1.532258,-5.16054,0.2282614,RFWD3,ring finger and WD repeat domain 3
206642_at,0.23034,0.148,-1.532109,-5.16074,-0.1302288,DSG1,desmoglein 1
220782_x_at,0.23034,0.148,-1.532064,-5.160801,-0.3826738,KLK12,kallikrein related peptidase 12
209797_at,0.23038,0.148,1.531914,-5.161003,0.5421131,CNPY2,canopy FGF signaling regulator 2
222155_s_at,0.23039,0.148,1.531839,-5.161105,0.5015036,SLC52A2,solute carrier family 52 member 2
218927_s_at,0.23041,0.148,-1.531746,-5.161229,-0.3159338,CHST12,carbohydrate (chondroitin 4) sulfotransferase 12
215388_s_at,0.23052,0.148,-1.531415,-5.161676,-0.7823162,CFHR1///CFH,complement factor H related 1///complement factor H
217568_at,0.23052,0.148,-1.531383,-5.161719,-0.312796,EDDM3A,epididymal protein 3A
205294_at,0.23053,0.148,-1.531289,-5.161846,-0.2358914,BAIAP2,BAI1 associated protein 2
220105_at,0.23053,0.148,-1.531283,-5.161854,-0.2752798,RSPH14,radial spoke head 14 homolog
218239_s_at,0.23054,0.148,1.531195,-5.161972,0.6174674,GTPBP4,GTP binding protein 4
202698_x_at,0.23058,0.148,1.531037,-5.162185,0.367931,COX4I1,cytochrome c oxidase subunit 4I1
205072_s_at,0.23058,0.148,1.531023,-5.162205,0.255146,XRCC4,X-ray repair cross complementing 4
215449_at,0.23059,0.148,-1.530958,-5.162291,-0.3299102,TSPO2,translocator protein 2
218610_s_at,0.2308,0.149,1.530357,-5.163101,0.2906424,CPPED1,calcineurin like phosphoesterase domain containing 1
219992_at,0.23082,0.149,-1.530267,-5.163222,-0.3670019,TAC3,tachykinin 3
209980_s_at,0.23082,0.149,-1.530216,-5.163292,-0.2256871,MIR6778///SHMT1,microRNA 6778///serine hydroxymethyltransferase 1
207595_s_at,0.23082,0.149,-1.530173,-5.16335,-0.282044,BMP1,bone morphogenetic protein 1
219631_at,0.23085,0.149,1.530049,-5.163517,0.4146645,LRP12,LDL receptor related protein 12
206299_at,0.23097,0.149,-1.529612,-5.164104,-0.2219471,FAM155B,family with sequence similarity 155 member B
205326_at,0.23097,0.149,-1.529602,-5.164118,-0.3996536,RAMP3,receptor (G protein-coupled) activity modifying protein 3
209742_s_at,0.23098,0.149,-1.529518,-5.164232,-0.2145102,MYL2,myosin light chain 2
219076_s_at,0.23098,0.149,-1.529495,-5.164263,-0.3790267,PXMP2,peroxisomal membrane protein 2
209205_s_at,0.23104,0.149,1.529309,-5.164513,0.3465545,LMO4,LIM domain only 4
218842_at,0.23128,0.149,1.528626,-5.165433,0.5250471,RPAP3,RNA polymerase II associated protein 3
214981_at,0.23134,0.149,-1.528433,-5.165692,-0.1443448,POSTN,periostin
208295_x_at,0.23141,0.149,-1.528207,-5.165997,-0.2683905,CSHL1,chorionic somatomammotropin hormone like 1
204090_at,0.23146,0.149,1.528014,-5.166256,0.2315017,STK19,serine/threonine kinase 19
207445_s_at,0.23146,0.149,-1.527988,-5.166291,-0.1473807,CCR9,C-C motif chemokine receptor 9
220449_at,0.23149,0.149,-1.527878,-5.166439,-0.3028381,LINC01260,long intergenic non-protein coding RNA 1260
210831_s_at,0.2315,0.149,-1.527801,-5.166542,-0.329571,PTGER3,prostaglandin E receptor 3
219308_s_at,0.23151,0.149,-1.527717,-5.166656,-0.1685974,AK5,adenylate kinase 5
203967_at,0.23151,0.149,-1.527689,-5.166693,-0.1972807,CDC6,cell division cycle 6
216211_at,0.23157,0.149,-1.527506,-5.16694,-0.2312957,FAM208B,family with sequence similarity 208 member B
217952_x_at,0.23158,0.149,1.527391,-5.167094,0.4899621,PHF3,PHD finger protein 3
215432_at,0.23158,0.149,-1.527377,-5.167113,-0.1908417,ACSM1,acyl-CoA synthetase medium-chain family member 1
209616_s_at,0.2316,0.149,-1.527283,-5.167239,-0.4730288,LOC100653057///CES1,liver carboxylesterase 1-like///carboxylesterase 1
214905_at,0.23164,0.149,-1.527148,-5.167421,-0.1727231,RASGRF1,Ras protein specific guanine nucleotide releasing factor 1
219860_at,0.23175,0.149,-1.526818,-5.167864,-0.1719379,LY6G5C,"lymphocyte antigen 6 complex, locus G5C"
221477_s_at,0.23176,0.149,1.526759,-5.167945,0.9404731,LOC100129518///SOD2,"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
201530_x_at,0.23178,0.149,1.526659,-5.168079,0.592779,LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1,"uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1"
217830_s_at,0.23192,0.15,1.526247,-5.168632,0.3764893,NSFL1C,NSFL1 cofactor
204745_x_at,0.23193,0.15,-1.526172,-5.168734,-0.675631,MT1G,metallothionein 1G
212804_s_at,0.23197,0.15,1.526042,-5.168909,0.1970217,GAPVD1,GTPase activating protein and VPS9 domains 1
215857_at,0.23201,0.15,-1.525894,-5.169107,-0.2965812,NCLN,nicalin
207689_at,0.23204,0.15,-1.525761,-5.169286,-0.1799648,TBX10,T-box 10
206451_at,0.23211,0.15,1.525544,-5.169578,0.2725748,TBCCD1,TBCC domain containing 1
213358_at,0.23212,0.15,1.525427,-5.169735,0.4247612,MTCL1,microtubule crosslinking factor 1
214746_s_at,0.23212,0.15,-1.525417,-5.169748,-0.2746455,ZNF467,zinc finger protein 467
206331_at,0.23214,0.15,-1.525344,-5.169847,-0.2342252,CALCRL,calcitonin receptor like receptor
214587_at,0.23217,0.15,-1.525206,-5.170032,-0.1722198,COL8A1,collagen type VIII alpha 1 chain
215736_at,0.23226,0.15,-1.524945,-5.170382,-0.1394695,KCNV1,potassium voltage-gated channel modifier subfamily V member 1
202297_s_at,0.23228,0.15,1.524835,-5.170531,0.4300605,RER1,retention in endoplasmic reticulum sorting receptor 1
211996_s_at,0.23229,0.15,-1.524781,-5.170603,-0.7460576,LOC101060275///NPIPA5///NPIPB5///NPIPB11///LOC613037///NPIPB4///NPIPB3,putative NPIP-like protein LOC613037///nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein family member B11///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3
211446_at,0.23238,0.15,-1.524511,-5.170966,-0.2906852,RGSL1,regulator of G-protein signaling like 1
217213_at,0.23244,0.15,-1.5243,-5.17125,-0.124396,SLC6A2,solute carrier family 6 member 2
212023_s_at,0.23256,0.15,-1.523951,-5.171718,-0.3128748,MKI67,marker of proliferation Ki-67
218620_s_at,0.23256,0.15,-1.523898,-5.17179,-0.2840602,HEMK1,HemK methyltransferase family member 1
214228_x_at,0.23256,0.15,-1.523851,-5.171852,-0.3223807,TNFRSF4,TNF receptor superfamily member 4
201869_s_at,0.23269,0.15,-1.523475,-5.172357,-0.1900857,TBL1X,transducin (beta)-like 1X-linked
205299_s_at,0.23273,0.15,-1.523336,-5.172544,-0.163151,BTN2A2,butyrophilin subfamily 2 member A2
206777_s_at,0.23274,0.15,-1.523279,-5.172621,-0.3363698,CRYBB2P1///CRYBB2,crystallin beta B2 pseudogene 1///crystallin beta B2
201319_at,0.23281,0.15,1.523042,-5.172938,0.40212,MYL12A,myosin light chain 12A
214632_at,0.23283,0.15,-1.522938,-5.173079,-0.289539,NRP2,neuropilin 2
37152_at,0.23285,0.15,-1.522862,-5.173181,-0.7546452,PPARD,peroxisome proliferator activated receptor delta
220947_s_at,0.23287,0.15,-1.522737,-5.173348,-0.3136624,TBC1D10B,TBC1 domain family member 10B
205287_s_at,0.23287,0.15,-1.522731,-5.173356,-0.2395167,TFAP2C,transcription factor AP-2 gamma
214661_s_at,0.23295,0.15,-1.522457,-5.173724,-0.2788512,NOP14,NOP14 nucleolar protein
220532_s_at,0.23303,0.151,1.522219,-5.174044,0.6951198,TMEM176B,transmembrane protein 176B
212932_at,0.2331,0.151,1.521999,-5.174338,0.2581445,RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1
221698_s_at,0.23317,0.151,-1.521758,-5.174662,-0.2788748,CLEC7A,C-type lectin domain family 7 member A
214186_s_at,0.2332,0.151,-1.521645,-5.174814,-0.178529,HCG26,HLA complex group 26 (non-protein coding)
219580_s_at,0.23327,0.151,-1.521395,-5.175149,-1.0722367,TMC5,transmembrane channel like 5
202132_at,0.23327,0.151,-1.521392,-5.175153,-0.392929,WWTR1,WW domain containing transcription regulator 1
207270_x_at,0.23338,0.151,-1.521062,-5.175596,-0.295186,CD300C,CD300c molecule
221024_s_at,0.23342,0.151,1.520916,-5.175791,0.538736,SLC2A10,solute carrier family 2 member 10
202592_at,0.23342,0.151,-1.520856,-5.175872,-0.285705,BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1
218072_at,0.23348,0.151,1.520675,-5.176115,0.34839,COMMD9,COMM domain containing 9
220540_at,0.23355,0.151,-1.520454,-5.176412,-0.1541764,KCNK15,potassium two pore domain channel subfamily K member 15
208141_s_at,0.23366,0.151,-1.520131,-5.176845,-0.3225414,DOHH,deoxyhypusine hydroxylase/monooxygenase
206348_s_at,0.23368,0.151,1.520023,-5.17699,0.2910314,PDK3,pyruvate dehydrogenase kinase 3
207285_x_at,0.23382,0.151,-1.51961,-5.177542,-0.2535933,CSHL1,chorionic somatomammotropin hormone like 1
203224_at,0.23382,0.151,1.519437,-5.177775,0.6482867,RFK,riboflavin kinase
208660_at,0.23382,0.151,1.519435,-5.177777,0.2849093,CS,citrate synthase
213462_at,0.23382,0.151,1.519423,-5.177794,0.2456705,NPAS2,neuronal PAS domain protein 2
211122_s_at,0.23382,0.151,-1.519362,-5.177875,-1.014159,CXCL11,C-X-C motif chemokine ligand 11
208218_s_at,0.23382,0.151,-1.519354,-5.177886,-0.2645719,ACVR1B,activin A receptor type 1B
202408_s_at,0.23382,0.151,1.519339,-5.177907,0.4718136,PRPF31,pre-mRNA processing factor 31
207763_at,0.23382,0.151,-1.519331,-5.177917,-0.3394667,S100A5,S100 calcium binding protein A5
219594_at,0.23387,0.151,-1.519161,-5.178145,-0.2178076,NINJ2,ninjurin 2
204257_at,0.23423,0.152,-1.518177,-5.179464,-0.2308436,FADS3,fatty acid desaturase 3
216976_s_at,0.23425,0.152,1.518092,-5.179576,0.339281,RYK,receptor-like tyrosine kinase
205622_at,0.23431,0.152,1.517889,-5.179849,0.2669352,SMPD2,sphingomyelin phosphodiesterase 2
216164_at,0.23435,0.152,-1.517733,-5.180057,-0.3716967,LRRN2,leucine rich repeat neuronal 2
210687_at,0.23438,0.152,-1.517615,-5.180215,-0.2206848,CPT1A,carnitine palmitoyltransferase 1A
